family,operation,current_route,target,action,consumer,status,cutover_gate
authentication,sign-in,/api/v1/authentication/sign-in,identity,KEEP,UNKNOWN,open,consumer audit
authentication,sign-up,/api/v1/authentication/sign-up,identity v2,REDESIGN,mobile,adapter active,consumer contract
buyer-companies,company CRUD,/api/v1/buyer-companies,customers/sites v2,REDESIGN,mobile,adapter active,tenant migration
equipment,equipment CRUD,/api/v1/equipment,tanks v2,REDESIGN,mobile,adapter active,tank mapping
fuel-products,product CRUD,/api/v1/fuel-products,supply v2,REDESIGN,mobile,legacy active,product consumer audit
fuel-requests,request lifecycle,/api/v1/fuel-requests,replenishment v2,REDESIGN,mobile,adapter active,golden contract
fuel-orders,direct create/confirm,/api/v1/fuel-orders,replenishment v2,DEPRECATE,UNKNOWN,legacy active,no direct consumers
drivers,driver CRUD,/api/v1/drivers,fleet v2,MOVE,mobile,legacy active,eligibility API
vehicles,tanker CRUD,/api/v1/vehicles,fleet v2,MOVE,mobile,legacy active,reservation API
deliveries,delivery lifecycle,/api/v1/deliveries,delivery v2,REDESIGN,mobile,legacy active,lifecycle contract
notifications,manual create,/api/v1/notifications,events,DEPRECATE,UNKNOWN,legacy active,event fanout
notifications,reads,/api/v1/notifications and /api/v2/users/{id}/notifications,/api/v2/me/notifications,REDESIGN,mobile,v2 active,membership privacy
payments,payment lifecycle,/api/v1/payments,legacybilling,UNKNOWN,UNKNOWN,provisional,ADR-023
analytics,reporting,/api/v1/analytics,insights v2,REDESIGN,mobile,legacy active,projection rebuild
provider-ratings,ratings,/api/v1/provider-ratings,none,DEPRECATE,UNKNOWN,legacy active,U13 decision
